IE_XML_ID,IE_NAME,IE_ID,IE_ACTIVE,IE_ACTIVE_FROM,IE_ACTIVE_TO,IE_PREVIEW_PICTURE,IE_PREVIEW_TEXT,IE_PREVIEW_TEXT_TYPE,IE_DETAIL_PICTURE,IE_DETAIL_TEXT,IE_DETAIL_TEXT_TYPE,IE_CODE,IE_SORT,IE_TAGS,IP_PROP360,IP_PROP361,IP_PROP370,IP_PROP371,IP_PROP658,IP_PROP386,IP_PROP380,IP_PROP382,IP_PROP384,IP_PROP387,IP_PROP401,IP_PROP668,IP_PROP667,IP_PROP666,IP_PROP385,IP_PROP391,IP_PROP388,IC_GROUP0,IC_GROUP1,IC_GROUP2
F21-227,Ecosport 2018-> (2066235),247198,Y,,,,2066235,text,,,text,f21-227,500,,,,,,,,,,,,,,,,,,,,,
F21-230,Фильтр вентиляции картерных газов (поролон) Focus-I 2.0 / Connect 1.8 Zetec-E / Galaxy 2.0 DOHC (1045142),247202,Y,,,,1045142,text,,,text,f21-230,500,,,,,,,,,,,,,,,,,,,,,
F18-1775,Explorer 2011-> Направляющая переднего суппорта,250492,Y,,,,,text,,,text,f18-1775,500,,,Y,,,,,,,,,,,,,,,,,,
F18-1777,Mondeo 1996-2015 / S-MAX 2007- / Galaxy 1996-2015 / Kuga 2008- Направляющие заднего суппорта (рем к-т),250495,Y,,,,,text,,,text,f18-1777,500,,,,,,,,,,,,,,,,,,,,,
F18-1780,RANGER 2006- Направляющие супорта пер. (к-т из 2-х шт.),250499,Y,,,,"3684757
3684757
3684757",text,,,text,f18-1780,500,,,Y,,,,,,,,,,,,,,,,,,
F18-1781,Scorpio направляющая заднего супорта,250501,Y,,,,,text,,,text,f18-1781,500,,,,,,,,,,,,,,,,,,,,,
F18-1782,Transit ->91 80-120 Направляющие переднего суппорта (рем к-т),250503,Y,,,,6187380,text,,,text,f18-1782,500,,,,,,,,,,,,,,,,,,,,,
F18-1784,Transit 1991-2000 Направляющая суппорта верх. (шт.),250506,Y,,,,"92VB 2L526 AA, FSE 11-514-004",text,,,text,f18-1784,500,,,Y,,,,,,,,,,,,,,,,,,
F18-1786,01,250509,Y,,,/upload/iblock/a58/o4chfk6x71r8ms3pt7ii8t2an92lpctl.png,,text,/upload/iblock/8e8/tfngzn9iu1gzl8r4y6wuoxs8f5lm7me7.png,,text,f18-1786,500,,,,,[],,,,,,,,,,,,,,,,
F18-1788,Transit 2001-2006 Направляющие супорта пер. (к-т из 2-х шт.),250512,Y,,,,"4055851, YC15 2L527 AA",text,,,text,f18-1788,500,,,Y,,,,,,,,,,,,,,,,,,
F18-1794,Transit 2006-> направляющая заднего супорта (к-т) Спарка / Ducato / Iveco Daily,250519,Y,,,,"1570654, 8C1V 2L527 AA, 8C1V2L527AA, 77364046, 93162193, VAG 2E0698647D, 2E0698295, 2E0698647D,  2E0698647D,",text,,,text,f18-1794,500,,,,,,,,,,,,,,,,,,,,,
F18-1798,Transit 2006-> направляющая переднего супорта (к-т),250524,Y,,,,"1371392, 6C11 2L527 BB",text,,,text,f18-1798,500,,,Y,,,,,,,,,,,,,,,,,,
F18-1803,Transit 2006-2014 заднего суппорта / Mondeo 2000- направляющая переднего супорта,250530,Y,,,,"500662, 1126717, 1843318, 1521632, 1126716, 1521636, 1783935, 1843325, 1478340, 1123892, 1843320, 1522068, 1478338, 1371391, 1123895, 1478421, 1500664, 1478420, 1843326 OPEL 542406, 5542095, 542551, 542548, 5542097, 542206, 542547, 542542, 542549, 54",text,,,text,f18-1803,500,,,Y,,,,,,,,,,,,,,,,,,
