bitrix_id,id,sub_category_id,name,slug,cross_number,old_image_x
F8-2,b8e47648-257a-4d4c-b60a-5f0e6caf8222,a57ba496-1460-49d9-abbe-f05d28e997a8,Focus II-III / C-Max / Kuga / Mondeo / S-Max 07- замок двери багажника (4 контакта),focus-ii-iii-c-max-kuga-mondeo-s-max-07-zamok-dveri-bagazhnika-4-kontakta,"1930055, 1743698, 8M51R442A66EA",/upload/iblock/965/h6v1v60gi1ryckdh0tc7ay6ltnzwoi4a/2021-30-03_20-50-08__xDs6gko.webp
F8-3,9e24a471-700a-469b-acd0-354aa2f05b30,a57ba496-1460-49d9-abbe-f05d28e997a8,Focus II-III / C-Max / Kuga / Mondeo / S-Max 07- замок двери багажника (5 контактов),focus-ii-iii-c-max-kuga-mondeo-s-max-07-zamok-dveri-bagazhnika-5-kontaktov,"1859161, 8M51R442A66AC, 8M51 R442A66 DB, 1570448 - FSE 11-336-012
",/upload/iblock/da3/klvvib5jemjl1rp5rfraxiri73alqgtu/Снимок.PNG
F8-6,fda8ef8e-b1c4-4c11-8b19-3a9193f22858,a57ba496-1460-49d9-abbe-f05d28e997a8,Механизм замка Connect задней (высокой) двери (верх-LH),mekhanizm-zamka-connect-zadnei-vysokoi-dveri-verkh-lh,"1419513, 2T14 V43287 BP",
F8-7,ec822321-b334-431e-9371-defd5dc692ab,a57ba496-1460-49d9-abbe-f05d28e997a8,Механизм замка L ЛЕВОЙ  выдвижной длинной двери (+ЦЗ) Transit 2001-> V184 / V347,mekhanizm-zamka-l-levoi-vydvizhnoi-dlinnoi-dveri-tsz-transit-2001-v184-v347,"1766561, YC15-V264A33-BK",/upload/iblock/3bc/4b6qcru899yl23shyk2ndyfvic7eyqbp/s-l1600.jpg
F8-8,a2f370a2-6a44-4811-ad37-294d296d0559,a57ba496-1460-49d9-abbe-f05d28e997a8,Механизм замка R правой выдвижной длинной двери (+ЦЗ) Transit 2001-2014 (1766551),mekhanizm-zamka-r-pravoi-vydvizhnoi-dlinnoi-dveri-tsz-transit-2001-2014-1766551,"YC15 B264A00 BL N - FSE 11-321-050 - 1C15 B264A00 FH / ATY 0103210133 / YC15B264A00BH / 1C15 B264A00 FHY

",/upload/iblock/f18/n4qjnqyb01i5awupzy87xbd8w15z8dv5/Jobb-oldali-toloajto-zarszerkezet-ford-Transit-2000-2014-1766551-1-500x500.jpg
F8-9,e8716371-d379-43ed-b984-9105afdb3968,a57ba496-1460-49d9-abbe-f05d28e997a8,Механизм замка R правой выдвижной длинной двери (+ЦЗ) Transit 2001-2014 (1766560),mekhanizm-zamka-r-pravoi-vydvizhnoi-dlinnoi-dveri-tsz-transit-2001-2014-1766560,1766560/1758254/1755991/1494154/4142909/4070834/4045865 FORD YC15V264A32BK,/upload/iblock/30a/qpkbax69dk7oqivixfobnl5w4c062bw3/Изображение WhatsApp 2022-08-15 в 09.46.43.jpg
F8-10,561681ce-ae89-4d6e-980a-1a7c9d653476,a57ba496-1460-49d9-abbe-f05d28e997a8,Механизм замка выдвижной двери  Transit 1986-2000,mekhanizm-zamka-vydvizhnoi-dveri-transit-1986-2000,"96VB V264A26 AA, 1033490, 6160867, BP1936DP GROUP",/upload/iblock/e86/ygemqttik565m282bywo8ulfn6b9z8it/загружено.jpg
F8-11,4c156832-de55-42c4-add8-84eabc652411,a57ba496-1460-49d9-abbe-f05d28e997a8,Механизм замка двери Focus 2004-2011 задней левой,mekhanizm-zamka-dveri-focus-2004-2011-zadnei-levoi,"4892388, 4M5AA 26413 BD, 4M5A-A26413-BD",
F8-13,c69292ef-d514-4909-ae15-77ee0883bf22,a57ba496-1460-49d9-abbe-f05d28e997a8,Механизм замка двери Focus 2004-2011 задней правой,mekhanizm-zamka-dveri-focus-2004-2011-zadnei-pravoi,"4892384, 4M5AA 26412 ES",/upload/iblock/452/r7wzzft4n0fqbatcvn54kvftuu28l81c/s-l1200.jpg
F8-15,6c71bc8b-32a6-41c0-85f2-54039d3bdf1e,a57ba496-1460-49d9-abbe-f05d28e997a8,Механизм замка двери Focus 2004-2011 передний левый (6 КОНТАКТОВ),mekhanizm-zamka-dveri-focus-2004-2011-perednii-levyi-6-kontaktov,"4892458, 3M5A R21813 ES, 4892459, DOMINANT FO48092459, ZIKMAR Z59015R",/upload/iblock/12f/uq636hl13yzuptvz73t2ifek9j3fgpib/367_133-923.webp
F8-18,cede1992-2a27-4be1-a379-bb6fa9467b9e,a57ba496-1460-49d9-abbe-f05d28e997a8,Механизм замка двери Focus 2004-2011 передний правый,mekhanizm-zamka-dveri-focus-2004-2011-perednii-pravyi,"4892360, 3M5A 21813 AK",
F8-20,6b73a779-236e-4aaa-b54e-9753b7470273,a57ba496-1460-49d9-abbe-f05d28e997a8,Механизм замка двери кабины R Custom 2013-2019 (5pin),mekhanizm-zamka-dveri-kabiny-r-custom-2013-2019-5pin,"BK21 V219A64 CL, 2381730",
F8-21,a5b26c9f-31c9-4664-8420-beabfd3f3442,a57ba496-1460-49d9-abbe-f05d28e997a8,Механизм замка двери кабины Transit 1995-2000 LH ,mekhanizm-zamka-dveri-kabiny-transit-1995-2000-lh,"1663731, 95VB V219A65 AE / 95VB V219A65 CF,95VB-V219A65-CF,95VBV219A65CF ",/upload/iblock/f23/6l5jhx8atvnyc2ywadu4j1bpdujgm9jp.jpeg
F8-22,eb2f13f5-13fb-4565-8a18-c28091d1cbf4,a57ba496-1460-49d9-abbe-f05d28e997a8,Механизм замка двери кабины Transit 1995-2000 RH,mekhanizm-zamka-dveri-kabiny-transit-1995-2000-rh,"1663730, 95VB V219A64 BE, 4036334 - T107178 - 550472	PRESSAN	2005641011093 / 95VB V219A64 CF
",/upload/iblock/f0e/9w1s02hi6ub3vped4y4unx3vyhgqvgyu.jpeg
F8-23,cb8575c7-34e5-4d0a-8a50-4cb64b3039ac,a57ba496-1460-49d9-abbe-f05d28e997a8,Механизм замка двери кабины Transit 2000-14 LH (без ЦЗ),mekhanizm-zamka-dveri-kabiny-transit-2000-14-lh-bez-tsz,"1672075, YC15 V219A65 AU, BSG30975026, 4967768",/upload/iblock/531/3lfp0z0644fcq5ezbcx7ju35v3886lj7/Снимок.PNG
F8-25,c5ed7968-879c-40ee-9d4c-a6607be13003,a57ba496-1460-49d9-abbe-f05d28e997a8,Механизм замка двери кабины Transit 2000-14 RH (-ЦЗ),mekhanizm-zamka-dveri-kabiny-transit-2000-14-rh-tsz,"1945261, 4992285, BSG 30-975-025, YC15 V219A64 AR, YC1A V21812 AR, 4983867, 1818766 , FSE 11-321-005
",/upload/iblock/580/7r7ccj0be646o4j3oygfaigcm3vzq9ao/zl1rd78AC4jm.jpg
F8-26,8e5ef4af-0863-46f9-a035-964e6d846ec7,a57ba496-1460-49d9-abbe-f05d28e997a8,Механизм замка двери кабины Transit 2000-2014 LH (+ЦЗ),mekhanizm-zamka-dveri-kabiny-transit-2000-2014-lh-tsz,"YC1A V21813 BV, YC15 V219A65 BV,1818768, 4967768, 4956458, 4896531, 4345447, 4185751, 4345445, 4174383, 4345444, 4119501, 4087156, 4084921, YC1AV21813BR, YC15V219A65BV, T172707, YC1A V21813 BR - FSE 11-321-016
",/upload/iblock/155/47a8m6xnncpc20jkcsxqxt1oyof4e1ex/загружено.jpeg
