bitrix_id,id,sub_category_id,name,slug,cross_number,image_url,is_deleted
F8-2,ab4409a7-01c9-4de7-96af-b4a599eb27e4,8100a7fc-06ce-41c9-9ac6-62e631130ad8,Focus II-III / C-Max / Kuga / Mondeo / S-Max 07- замок двери багажника (4 контакта),focus-ii-iii-c-max-kuga-mondeo-s-max-07-zamok-dveri-bagazhnika-4-kontakta,"1930055, 1743698, 8M51R442A66EA",https://storage.yandexcloud.net/tcf-images/products/ab4409a7-01c9-4de7-96af-b4a599eb27e4.webp,False
F8-3,991b3fe0-81c9-4f8f-947e-09b5809ab3e9,8100a7fc-06ce-41c9-9ac6-62e631130ad8,Focus II-III / C-Max / Kuga / Mondeo / S-Max 07- замок двери багажника (5 контактов),focus-ii-iii-c-max-kuga-mondeo-s-max-07-zamok-dveri-bagazhnika-5-kontaktov,"1859161, 8M51R442A66AC, 8M51 R442A66 DB, 1570448 - FSE 11-336-012
",https://storage.yandexcloud.net/tcf-images/products/991b3fe0-81c9-4f8f-947e-09b5809ab3e9.png,False
F8-6,e62b1641-4bb8-4bd4-bd98-5a443a22d6fc,8100a7fc-06ce-41c9-9ac6-62e631130ad8,Механизм замка Connect задней (высокой) двери (верх-LH),mekhanizm-zamka-connect-zadnei-vysokoi-dveri-verkh-lh,"1419513, 2T14 V43287 BP",https://storage.yandexcloud.net/tcf-images/default.svg,False
F8-7,597c156f-d5f8-40f4-87b8-190bee5e3845,8100a7fc-06ce-41c9-9ac6-62e631130ad8,Механизм замка L ЛЕВОЙ  выдвижной длинной двери (+ЦЗ) Transit 2001-> V184 / V347,mekhanizm-zamka-l-levoi-vydvizhnoi-dlinnoi-dveri-tsz-transit-2001-v184-v347,"1766561, YC15-V264A33-BK",https://storage.yandexcloud.net/tcf-images/products/597c156f-d5f8-40f4-87b8-190bee5e3845.jpg,False
F8-8,e8110a1c-3a13-4adc-ab2f-a41cb962c3db,8100a7fc-06ce-41c9-9ac6-62e631130ad8,Механизм замка R правой выдвижной длинной двери (+ЦЗ) Transit 2001-2014 (1766551),mekhanizm-zamka-r-pravoi-vydvizhnoi-dlinnoi-dveri-tsz-transit-2001-2014-1766551,"YC15 B264A00 BL N - FSE 11-321-050 - 1C15 B264A00 FH / ATY 0103210133 / YC15B264A00BH / 1C15 B264A00 FHY

",https://storage.yandexcloud.net/tcf-images/products/e8110a1c-3a13-4adc-ab2f-a41cb962c3db.jpg,False
F8-9,c778028e-c8f2-4939-b792-af4066159418,8100a7fc-06ce-41c9-9ac6-62e631130ad8,Механизм замка R правой выдвижной длинной двери (+ЦЗ) Transit 2001-2014 (1766560),mekhanizm-zamka-r-pravoi-vydvizhnoi-dlinnoi-dveri-tsz-transit-2001-2014-1766560,1766560/1758254/1755991/1494154/4142909/4070834/4045865 FORD YC15V264A32BK,https://storage.yandexcloud.net/tcf-images/products/c778028e-c8f2-4939-b792-af4066159418.jpg,False
F8-10,de40e78f-9589-490a-8dc8-743b9e21b987,8100a7fc-06ce-41c9-9ac6-62e631130ad8,Механизм замка выдвижной двери  Transit 1986-2000,mekhanizm-zamka-vydvizhnoi-dveri-transit-1986-2000,"96VB V264A26 AA, 1033490, 6160867, BP1936DP GROUP",https://storage.yandexcloud.net/tcf-images/products/de40e78f-9589-490a-8dc8-743b9e21b987.jpg,False
F8-11,820cf5cf-af9a-466f-8d9d-12c1ac56191a,8100a7fc-06ce-41c9-9ac6-62e631130ad8,Механизм замка двери Focus 2004-2011 задней левой,mekhanizm-zamka-dveri-focus-2004-2011-zadnei-levoi,"4892388, 4M5AA 26413 BD, 4M5A-A26413-BD",https://storage.yandexcloud.net/tcf-images/default.svg,False
F8-13,56a208a5-6134-4110-81b4-a975f01a5602,8100a7fc-06ce-41c9-9ac6-62e631130ad8,Механизм замка двери Focus 2004-2011 задней правой,mekhanizm-zamka-dveri-focus-2004-2011-zadnei-pravoi,"4892384, 4M5AA 26412 ES",https://storage.yandexcloud.net/tcf-images/products/56a208a5-6134-4110-81b4-a975f01a5602.jpg,False
F8-15,c0234eed-3bb7-4e37-b5b0-799e8183e921,8100a7fc-06ce-41c9-9ac6-62e631130ad8,Механизм замка двери Focus 2004-2011 передний левый (6 КОНТАКТОВ),mekhanizm-zamka-dveri-focus-2004-2011-perednii-levyi-6-kontaktov,"4892458, 3M5A R21813 ES, 4892459, DOMINANT FO48092459, ZIKMAR Z59015R",https://storage.yandexcloud.net/tcf-images/products/c0234eed-3bb7-4e37-b5b0-799e8183e921.webp,False
F8-18,6eb8bfda-ebbb-4045-bdac-926af2bb67de,8100a7fc-06ce-41c9-9ac6-62e631130ad8,Механизм замка двери Focus 2004-2011 передний правый,mekhanizm-zamka-dveri-focus-2004-2011-perednii-pravyi,"4892360, 3M5A 21813 AK",https://storage.yandexcloud.net/tcf-images/default.svg,False
F8-20,cd9464be-839d-4719-a7b5-9dd4e7919431,8100a7fc-06ce-41c9-9ac6-62e631130ad8,Механизм замка двери кабины R Custom 2013-2019 (5pin),mekhanizm-zamka-dveri-kabiny-r-custom-2013-2019-5pin,"BK21 V219A64 CL, 2381730",https://storage.yandexcloud.net/tcf-images/default.svg,False
