bitrix_id,name,old_image,cross_number,category,sub_category,id,slug,url
F8-2,Focus II-III / C-Max / Kuga / Mondeo / S-Max 07- замок двери багажника (4 контакта),/upload/iblock/965/h6v1v60gi1ryckdh0tc7ay6ltnzwoi4a/2021-30-03_20-50-08__xDs6gko.webp,"1930055, 1743698, 8M51R442A66EA",Кузов,Механизмы замков,f71d64ca-2f50-436d-b04a-b7ae4bbc4eff,focus-ii-iii-c-max-kuga-mondeo-s-max-07-zamok-dveri-bagazhnika-4-kontakta,https://ford-parts.com.ru/catalog/F8-2/
F8-3,Focus II-III / C-Max / Kuga / Mondeo / S-Max 07- замок двери багажника (5 контактов),/upload/iblock/da3/klvvib5jemjl1rp5rfraxiri73alqgtu/Снимок.PNG,"1859161, 8M51R442A66AC, 8M51 R442A66 DB, 1570448 - FSE 11-336-012
",Кузов,Механизмы замков,0354c8a8-4106-44ad-8270-caaad643bf15,focus-ii-iii-c-max-kuga-mondeo-s-max-07-zamok-dveri-bagazhnika-5-kontaktov,https://ford-parts.com.ru/catalog/F8-3/
F8-6,Механизм замка Connect задней (высокой) двери (верх-LH),,"1419513, 2T14 V43287 BP",Кузов,Механизмы замков,0cb3c86f-5577-4002-a19c-2d9d2435f385,mekhanizm-zamka-connect-zadnei-vysokoi-dveri-verkh-lh,https://ford-parts.com.ru/catalog/F8-6/
F8-7,Механизм замка L ЛЕВОЙ  выдвижной длинной двери (+ЦЗ) Transit 2001-> V184 / V347,/upload/iblock/3bc/4b6qcru899yl23shyk2ndyfvic7eyqbp/s-l1600.jpg,"1766561, YC15-V264A33-BK",Кузов,Механизмы замков,7d927597-9680-44d3-a8bb-0b85795873a2,mekhanizm-zamka-l-levoi-vydvizhnoi-dlinnoi-dveri-tsz-transit-2001-v184-v347,https://ford-parts.com.ru/catalog/F8-7/
F8-8,Механизм замка R правой выдвижной длинной двери (+ЦЗ) Transit 2001-2014 (1766551),/upload/iblock/f18/n4qjnqyb01i5awupzy87xbd8w15z8dv5/Jobb-oldali-toloajto-zarszerkezet-ford-Transit-2000-2014-1766551-1-500x500.jpg,"YC15 B264A00 BL N - FSE 11-321-050 - 1C15 B264A00 FH / ATY 0103210133 / YC15B264A00BH / 1C15 B264A00 FHY

",Кузов,Механизмы замков,d780d1a4-5829-476e-8abd-94be8a03f237,mekhanizm-zamka-r-pravoi-vydvizhnoi-dlinnoi-dveri-tsz-transit-2001-2014-1766551,https://ford-parts.com.ru/catalog/F8-8/
F8-9,Механизм замка R правой выдвижной длинной двери (+ЦЗ) Transit 2001-2014 (1766560),/upload/iblock/30a/qpkbax69dk7oqivixfobnl5w4c062bw3/Изображение WhatsApp 2022-08-15 в 09.46.43.jpg,1766560/1758254/1755991/1494154/4142909/4070834/4045865 FORD YC15V264A32BK,Кузов,Механизмы замков,c188d346-516a-4296-a144-5e8f86788664,mekhanizm-zamka-r-pravoi-vydvizhnoi-dlinnoi-dveri-tsz-transit-2001-2014-1766560,https://ford-parts.com.ru/catalog/F8-9/
F8-10,Механизм замка выдвижной двери  Transit 1986-2000,/upload/iblock/e86/ygemqttik565m282bywo8ulfn6b9z8it/загружено.jpg,"96VB V264A26 AA, 1033490, 6160867, BP1936DP GROUP",Кузов,Механизмы замков,58be975e-eebd-4884-859c-c4a58738bab1,mekhanizm-zamka-vydvizhnoi-dveri-transit-1986-2000,https://ford-parts.com.ru/catalog/F8-10/
F8-11,Механизм замка двери Focus 2004-2011 задней левой,,"4892388, 4M5AA 26413 BD, 4M5A-A26413-BD",Кузов,Механизмы замков,cb1dd5cd-4478-40e1-b0b2-16d8d04eb9a4,mekhanizm-zamka-dveri-focus-2004-2011-zadnei-levoi,https://ford-parts.com.ru/catalog/F8-11/
F8-13,Механизм замка двери Focus 2004-2011 задней правой,/upload/iblock/452/r7wzzft4n0fqbatcvn54kvftuu28l81c/s-l1200.jpg,"4892384, 4M5AA 26412 ES",Кузов,Механизмы замков,82b3328b-a469-4981-8e64-90aedf858668,mekhanizm-zamka-dveri-focus-2004-2011-zadnei-pravoi,https://ford-parts.com.ru/catalog/F8-13/
F8-15,Механизм замка двери Focus 2004-2011 передний левый (6 КОНТАКТОВ),/upload/iblock/12f/uq636hl13yzuptvz73t2ifek9j3fgpib/367_133-923.webp,"4892458, 3M5A R21813 ES, 4892459, DOMINANT FO48092459, ZIKMAR Z59015R",Кузов,Механизмы замков,02905379-67c5-44d2-9f06-5bd9ff4812bf,mekhanizm-zamka-dveri-focus-2004-2011-perednii-levyi-6-kontaktov,https://ford-parts.com.ru/catalog/F8-15/
